sample_name,file,l_asx_area,l_asx_meas_ret_time,d_asx_area,d_asx_meas_ret_time,l_glu_area,l_glu_meas_ret_time,d_glu_area,d_glu_meas_ret_time,l_ser_area,l_ser_meas_ret_time,d_ser_area,d_ser_meas_ret_time,l_thr_area,l_thr_meas_ret_time,l_his_area,l_his_meas_ret_time,gly_area,gly_meas_ret_time,l_arg_area,l_arg_meas_ret_time,d_arg_area,d_arg_meas_ret_time,l_ala_area,l_ala_meas_ret_time,lh_arg_area,lh_arg_meas_ret_time,d_ala_area,d_ala_meas_ret_time,l_tyr_area,l_tyr_meas_ret_time,l_val_area,l_val_meas_ret_time,l_met_area,l_met_meas_ret_time,d_met_area,d_met_meas_ret_time,d_val_area,d_val_meas_ret_time,l_phe_area,l_phe_meas_ret_time,l_ile_area,l_ile_meas_ret_time,d_phe_area,d_phe_meas_ret_time,l_leu_area,l_leu_meas_ret_time,d_ile_area,d_ile_meas_ret_time,d_leu_area,d_leu_meas_ret_time,x53,x54,x55,x56,x57,file_name
15579bF,G1067 2022-10-27 12-03-40-1115.xls,1923.09,17.99,1399.09,18.94,325.21,26.64,161.69,28.43,365.64,29.31,383.92,31.62,421.85,37.09,53.22,37.91,1038.06,39.06,467.76,44.23,394.32,45.72,1265.49,46.97,769.7,49.04,1091.33,51.18,101.83,55.13,474.85,65.8,65.65,67.26,NA,NA,326.32,73.42,231.02,75.22,317.29,76.08,196.17,78.82,454.3,82.34,273.93,84.06,358.91,86.94,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15579bF,G1067 2022-10-27 12-03-40-1141.xls,2339.54,17.93,1701.96,18.69,399.86,26.75,197.18,28.54,445.75,29.31,462.98,31.61,567.4,37.08,59.14,37.91,1042.92,39.08,584.51,44.25,460.66,45.73,1556.74,46.98,963.51,49.06,1349.96,51.21,159.96,55.16,599.13,65.82,88.25,67.28,NA,NA,412.9,73.44,294.75,75.24,400.37,76.1,242.82,78.83,526.93,82.35,336.35,84.07,450.35,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15580bF,G1067 2022-10-27 12-03-40-1216.xls,1605.45,18.11,1110.38,19.04,351.9,26.8,202.91,28.6,307.25,29.36,315.4,31.67,383.6,37.14,40.45,37.96,890.27,39.12,234.81,44.29,218.36,45.77,1101.31,47.04,713.27,49.09,982.82,51.26,26.47,55.2,373.45,65.86,64.83,67.31,NA,NA,263.75,73.48,209.67,75.28,326.76,76.14,175.13,78.87,387.69,82.4,291.42,84.12,317.94,87,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15580bF,G1067 2022-10-27 12-03-40-1242.xls,1809.57,18.05,1255.04,18.79,384.05,26.88,218.43,28.67,340.07,29.45,341.81,31.76,460.31,37.21,40.59,38.05,814.45,39.23,260.7,44.39,220.04,45.85,1238.98,47.11,817.59,49.18,1101.65,51.34,50.15,55.26,418.33,65.92,48.71,67.35,NA,NA,293.64,73.53,241.46,75.33,377.34,76.2,195.4,78.92,432.41,82.45,322.33,84.15,365.47,87.03,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15581bF,G1067 2022-10-27 12-03-40-1317.xls,1859.51,18.09,1272.39,19.02,326,26.78,168.52,28.57,377.67,29.34,386.29,31.65,386.15,37.13,58.75,37.94,987.52,39.11,425.68,44.29,395.43,45.77,1098.74,47.02,777.23,49.08,947.81,51.24,73.16,55.17,375.97,65.86,87.05,67.32,NA,NA,266.63,73.49,216.08,75.28,279.82,76.15,175.24,78.89,352.1,82.41,253.22,84.13,279.4,87,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15581bF,G1067 2022-10-27 12-03-40-1343.xls,1977.24,18,1360.09,18.74,352.64,26.84,176.65,28.63,403.98,29.42,411.14,31.72,410.86,37.18,51.53,38,902.41,39.18,457.75,44.35,393.89,45.82,1191,47.08,840.93,49.15,1034.75,51.3,99.89,55.22,415.39,65.91,85.35,67.35,NA,NA,293.37,73.52,242.26,75.31,318.09,76.18,191.16,78.89,385.42,82.41,289.33,84.1,311.58,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15582bF,G1067 2022-10-27 12-03-40-1418.xls,2304.92,18.1,1608.09,19.02,642.72,26.79,258.76,28.58,451.72,29.35,466.48,31.66,564.28,37.11,47.22,37.92,1226.87,39.08,258.89,44.25,239.74,45.73,1638.62,46.99,762.81,49.05,1229.28,51.21,228.97,55.16,722.18,65.85,36.81,67.32,NA,NA,305.2,73.49,291.03,75.29,521.81,76.16,195.11,78.89,607.92,82.41,270.69,84.13,351.74,87,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15582bF,G1067 2022-10-27 12-03-40-1444.xls,2486.32,17.97,1742.25,18.7,668.38,26.83,266.9,28.63,478.64,29.4,488.51,31.71,604.35,37.17,43.17,37.98,1100.45,39.16,277.02,44.35,247.01,45.82,1768.77,47.08,819.89,49.15,1323.19,51.3,247.68,55.22,794.33,65.91,45.7,67.35,NA,NA,337.05,73.52,319.46,75.32,576.52,76.19,203.02,78.91,647.79,82.41,290.5,84.12,377.69,87,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15583bF,G1067 2022-10-27 12-03-40-1519.xls,1919.88,18.09,1360.45,19,502.64,26.78,298.83,28.57,398.4,29.34,410.3,31.65,522.76,37.12,56.15,37.93,1080.2,39.1,246.23,44.29,243.95,45.76,1364.35,47.02,731.04,49.09,1200.26,51.25,45.03,55.21,545.79,65.87,174.32,67.32,NA,NA,316.31,73.49,283.98,75.29,481.13,76.16,232.49,78.88,518.96,82.41,373.53,84.13,408.36,87.01,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15583bF,G1067 2022-10-27 12-03-40-1546.xls,2093.81,17.93,1484.86,18.63,542.26,26.82,321.82,28.62,429.06,29.39,438.27,31.7,619.7,37.16,66.45,37.99,969.53,39.15,281.25,44.35,246.76,45.82,1473.55,47.07,813.79,49.15,1289.39,51.3,77.48,55.23,609.37,65.89,190.55,67.35,NA,NA,352.02,73.52,329.66,75.33,544.63,76.19,256.3,78.92,548.2,82.43,422.99,84.14,471.76,87.03,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
